max_po,test,objV
1,1,132.769822615864
2,1,24.01703672013419
3,1,9.102021479780074
4,1,8.985380185885598
5,1,8.985380185885598
6,1,8.985380185885598
7,1,8.985380185885598
1,2,116.71060543091714
2,2,21.320461843638657
3,2,6.791653938437566
4,2,6.449701802132275
5,2,6.449701802132275
6,2,6.449701802132275
7,2,6.449701802132275
1,3,125.35479665470007
2,3,9.906481422884141
3,3,5.061917586675496
4,3,5.061917586675496
5,3,5.061917586675496
6,3,5.061917586675496
7,3,5.061917586675496
1,4,90.39456666362146
2,4,8.410659973172876
3,4,6.637353735168031
4,4,6.637353735168031
5,4,6.637353735168031
6,4,6.637353735168031
7,4,6.63735373516803
1,5,93.18813236350216
2,5,19.313559857828334
3,5,4.849294255574451
4,5,4.849294255574451
5,5,4.849294255574451
6,5,4.849294255574451
7,5,4.849294255574451
